SurveyID,SiteCode,SiteLatitude,SiteLongitude,Country,SiteName,Location,Depth,SurveyDate,algae,cca,coral,not_used,sand,turf,total,flat,Storage_kg,Accretion_kgyr,GPP_ghr,Calc_ghr,BranchSpace_cm3,OrgGrowth_gyr,BiomassStand_g,Rugosity
1003278,USEC4,24.62529,-81.11185,United States,Sombrero Light W FL,Florida Keys,5,12/10/2010,7,11,7,48,3,24,100,93,8.628776600610376,2.3846276962417297,1.5133841707089324,0.253121162512721,0,3205.895539216081,504.34084791264434,1.7028571428571428
1003281,USEC8,24.69262,-81.060967,United States,Vaca Key Bight FL,Florida Keys,3,16/10/2010,61,4,3,11,17,4,100,97,4.582429967359805,2.061254740426675,19.27431903386979,0.4538478890380738,0,20163.791753672805,3141.7897286472976,1.6666666666666667
1003282,USEC9,24.70784,-81.04805,United States,Vaca Key Bight S FL,Florida Keys,7,16/10/2010,10,3,7,13,23,44,100,93,13.338605614587186,1.6579272716000784,4.456063542868863,0.1476219101209395,0,3291.7692609342394,1039.3646193561997,1.638095238095238
1003283,USEC10,24.68577,-80.96287,United States,Coffins Patch E FL,Florida Keys,6,17/10/2010,27,10,10,40,1,12,100,90,14.668132661249386,1.6520162775664482,7.603721549641647,0.12096135339419796,0,9251.327936874603,1402.6713227636717,1.7842105263157895
1003284,USEC11,24.68553,-80.9645,United States,Coffins Patch W FL,Florida Keys,4.1,17/10/2010,19,5,12,30,10,24,100,88,31.030527704763617,2.6471320095220596,5.120110535240666,0.20812043121685692,0,6702.640839216854,1093.366709112611,1.6181818181818184
1003285,USEC12,24.54062,-81.41568,United States,Looe Reef Deep FL,Florida Keys,19,18/10/2010,20,4,11,29,14,22,100,89,7.977578795054004,0.9587225976757172,6.9786731373818425,0.06331542250246375,0,6433.802747417176,1293.2986624877403,1.7263157894736842
1003286,USEC13,24.54569,-81.40591,United States,Looe Reef West FL,Florida Keys,5.1,18/10/2010,4,4,10,24,0,58,100,90,55.33362051502874,2.573901143181749,1.2530230572019463,0.153318786939972,0,1802.592602660484,738.0772292985222,1.656
1003287,USEC14,24.546777,-81.405235,United States,Looe Reef Marker Post FL,Florida Keys,5.1,18/10/2010,6,5,4,36,9,40,100,96,4.641802217614941,1.7279927447710515,2.1442719843508224,0.20314455346994909,0,2203.953938157979,610.1792164532872,1.5263157894736843
1003288,USEC15,24.68217,-80.97067,United States,Pillar Patch FL,Florida Keys,4.6,19/10/2010,18,3,5,33,8,32,99,94,5.128902011465007,0.5628116577586735,6.421878456938636,0.0366627225201801,0,5861.7171728214225,1218.178409322139,1.6205128205128205
1003289,USEC16,24.68975,-81.02973,United States,Vaca Key Bight East FL,Florida Keys,4.1,19/10/2010,39,17,5,19,0,20,100,95,10.106651023693113,3.765914036585952,14.313162908728591,1.0075190980785866,0,12954.491317468215,2545.1269124396354,1.618867924528302
1003291,USEC17,24.63217,-81.09053,United States,Delta Shoal Marathon FL,Florida Keys,4.1,21/12/2010,27,8,1,29,7,28,100,99,4.854172983832015,0.45077907033573794,8.123770355141188,0.06765954508919271,0,9322.296795779635,1484.2946727222038,1.613953488372093
1003292,USEC7,24.62198,-81.110531,United States,Sombrero Light Deep FL,Florida Keys,15.5,21/12/2010,37,10,2,26,21,4,100,98,1.6379790995497006,1.626225980167579,12.442017962334797,0.1881537301946306,0,12070.753869448774,2009.0307251259278,1.6
1003629,CAR2,24.609,-82.87406,United States,Garden Key SE,Florida Keys,3.7,7/03/2011,7,13,0,32,11,37,100,100,4.506567537684755,0.7033523863037037,1.383819342931659,0.06287996799093738,0,2995.111949718128,487.8136841456273,1.5804878048780489
