"","Year","Site","Replicate","taxon","cover","dataset"
"1",2005,"Afareaitu",1,"Corymbose",14,"Moorea"
"2",2005,"Afareaitu",1,"Encrusting",4,"Moorea"
"3",2005,"Afareaitu",1,"Rock and Rubble",66,"Moorea"
"4",2005,"Afareaitu",1,"Tabular",14,"Moorea"
"5",2005,"Afareaitu",1,"understory macroalgae",2,"Moorea"
"6",2005,"Afareaitu",2,"Corymbose",16,"Moorea"
"7",2005,"Afareaitu",2,"Encrusting",8,"Moorea"
"8",2005,"Afareaitu",2,"Massive",4,"Moorea"
"9",2005,"Afareaitu",2,"Rock and Rubble",62,"Moorea"
"10",2005,"Afareaitu",2,"Tabular",8,"Moorea"
"11",2005,"Afareaitu",2,"understory macroalgae",2,"Moorea"
"12",2005,"Afareaitu",3,"Branching",2,"Moorea"
"13",2005,"Afareaitu",3,"Corymbose",10,"Moorea"
"14",2005,"Afareaitu",3,"Encrusting",2,"Moorea"
"15",2005,"Afareaitu",3,"Massive",2,"Moorea"
"16",2005,"Afareaitu",3,"Rock and Rubble",82,"Moorea"
"17",2005,"Afareaitu",3,"Tabular",2,"Moorea"
"18",2005,"Aroa",1,"Branching",6,"Moorea"
"19",2005,"Aroa",1,"Corymbose",10,"Moorea"
"20",2005,"Aroa",1,"Encrusting",4,"Moorea"
"21",2005,"Aroa",1,"Halimeda",2,"Moorea"
"22",2005,"Aroa",1,"Laminar",2,"Moorea"
"23",2005,"Aroa",1,"Massive",14,"Moorea"
"24",2005,"Aroa",1,"Rock and Rubble",54,"Moorea"
"25",2005,"Aroa",1,"Sand",2,"Moorea"
"26",2005,"Aroa",1,"Tabular",4,"Moorea"
"27",2005,"Aroa",1,"others",2,"Moorea"
"28",2005,"Aroa",2,"Branching",2,"Moorea"
"29",2005,"Aroa",2,"Corymbose",14,"Moorea"
"30",2005,"Aroa",2,"Halimeda",4,"Moorea"
"31",2005,"Aroa",2,"Massive",16,"Moorea"
"32",2005,"Aroa",2,"Rock and Rubble",58,"Moorea"
"33",2005,"Aroa",2,"Sand",2,"Moorea"
"34",2005,"Aroa",2,"Tabular",4,"Moorea"
"35",2005,"Aroa",3,"Branching",2,"Moorea"
"36",2005,"Aroa",3,"Corymbose",10,"Moorea"
"37",2005,"Aroa",3,"Encrusting",6,"Moorea"
"38",2005,"Aroa",3,"Laminar",2,"Moorea"
"39",2005,"Aroa",3,"Massive",12,"Moorea"
"40",2005,"Aroa",3,"Rock and Rubble",52,"Moorea"
"41",2005,"Aroa",3,"Sand",10,"Moorea"
"42",2005,"Aroa",3,"Tabular",4,"Moorea"
"43",2005,"Aroa",3,"understory macroalgae",2,"Moorea"
"44",2005,"Entre 2 baies",1,"Branching",4,"Moorea"
"45",2005,"Entre 2 baies",1,"Corymbose",12,"Moorea"
"46",2005,"Entre 2 baies",1,"Encrusting",26,"Moorea"
"47",2005,"Entre 2 baies",1,"Halimeda",2,"Moorea"
"48",2005,"Entre 2 baies",1,"Laminar",2,"Moorea"
"49",2005,"Entre 2 baies",1,"Massive",6,"Moorea"
"50",2005,"Entre 2 baies",1,"Rock and Rubble",28,"Moorea"
"51",2005,"Entre 2 baies",1,"Tabular",20,"Moorea"
"52",2005,"Entre 2 baies",2,"Branching",2,"Moorea"
"53",2005,"Entre 2 baies",2,"Corymbose",22,"Moorea"
"54",2005,"Entre 2 baies",2,"Encrusting",4,"Moorea"
"55",2005,"Entre 2 baies",2,"Halimeda",2,"Moorea"
"56",2005,"Entre 2 baies",2,"Laminar",4,"Moorea"
"57",2005,"Entre 2 baies",2,"Massive",16,"Moorea"
"58",2005,"Entre 2 baies",2,"Rock and Rubble",36,"Moorea"
"59",2005,"Entre 2 baies",2,"Tabular",2,"Moorea"
"60",2005,"Entre 2 baies",2,"understory macroalgae",12,"Moorea"
"61",2005,"Entre 2 baies",3,"Corymbose",22,"Moorea"
"62",2005,"Entre 2 baies",3,"Encrusting",10,"Moorea"
"63",2005,"Entre 2 baies",3,"Halimeda",2,"Moorea"
"64",2005,"Entre 2 baies",3,"Massive",8,"Moorea"
"65",2005,"Entre 2 baies",3,"Rock and Rubble",44,"Moorea"
"66",2005,"Entre 2 baies",3,"Sand",2,"Moorea"
"67",2005,"Entre 2 baies",3,"Tabular",12,"Moorea"
"68",2005,"Gendron",1,"Corymbose",26,"Moorea"
"69",2005,"Gendron",1,"Encrusting",2,"Moorea"
"70",2005,"Gendron",1,"Laminar",2,"Moorea"
"71",2005,"Gendron",1,"Massive",10,"Moorea"
"72",2005,"Gendron",1,"Rock and Rubble",56,"Moorea"
"73",2005,"Gendron",1,"Tabular",4,"Moorea"
"74",2005,"Gendron",2,"Corymbose",24,"Moorea"
"75",2005,"Gendron",2,"Encrusting",6,"Moorea"
"76",2005,"Gendron",2,"Massive",2,"Moorea"
"77",2005,"Gendron",2,"Rock and Rubble",68,"Moorea"
"78",2005,"Gendron",3,"Corymbose",16,"Moorea"
"79",2005,"Gendron",3,"Encrusting",8,"Moorea"
"80",2005,"Gendron",3,"Laminar",4,"Moorea"
"81",2005,"Gendron",3,"Massive",14,"Moorea"
"82",2005,"Gendron",3,"Rock and Rubble",54,"Moorea"
"83",2005,"Gendron",3,"Tabular",2,"Moorea"
"84",2005,"Gendron",3,"understory macroalgae",2,"Moorea"
"85",2005,"Haapiti",1,"Branching",2,"Moorea"
"86",2005,"Haapiti",1,"Corymbose",14,"Moorea"
"87",2005,"Haapiti",1,"Encrusting",4,"Moorea"
"88",2005,"Haapiti",1,"Halimeda",4,"Moorea"
"89",2005,"Haapiti",1,"Massive",4,"Moorea"
"90",2005,"Haapiti",1,"Rock and Rubble",60,"Moorea"
"91",2005,"Haapiti",1,"Sand",2,"Moorea"
"92",2005,"Haapiti",1,"Tabular",10,"Moorea"
"93",2005,"Haapiti",2,"Corymbose",4,"Moorea"
"94",2005,"Haapiti",2,"Encrusting",6,"Moorea"
"95",2005,"Haapiti",2,"Laminar",2,"Moorea"
"96",2005,"Haapiti",2,"Massive",4,"Moorea"
"97",2005,"Haapiti",2,"Rock and Rubble",82,"Moorea"
"98",2005,"Haapiti",2,"Tabular",2,"Moorea"
"99",2005,"Haapiti",3,"Corymbose",12,"Moorea"
"100",2005,"Haapiti",3,"Encrusting",4,"Moorea"
"101",2005,"Haapiti",3,"Massive",16,"Moorea"
"102",2005,"Haapiti",3,"Rock and Rubble",62,"Moorea"
"103",2005,"Haapiti",3,"Sand",2,"Moorea"
"104",2005,"Haapiti",3,"Tabular",2,"Moorea"
"105",2005,"Maatea",1,"Corymbose",34,"Moorea"
"106",2005,"Maatea",1,"Halimeda",20,"Moorea"
"107",2005,"Maatea",1,"Massive",12,"Moorea"
"108",2005,"Maatea",1,"Rock and Rubble",28,"Moorea"
"109",2005,"Maatea",1,"Tabular",2,"Moorea"
"110",2005,"Maatea",1,"understory macroalgae",4,"Moorea"
"111",2005,"Maatea",2,"Branching",4,"Moorea"
"112",2005,"Maatea",2,"Corymbose",34,"Moorea"
"113",2005,"Maatea",2,"Halimeda",30,"Moorea"
"114",2005,"Maatea",2,"Massive",6,"Moorea"
"115",2005,"Maatea",2,"Rock and Rubble",16,"Moorea"
"116",2005,"Maatea",2,"Tabular",4,"Moorea"
"117",2005,"Maatea",2,"understory macroalgae",6,"Moorea"
"118",2005,"Maatea",3,"Corymbose",20,"Moorea"
"119",2005,"Maatea",3,"Halimeda",32,"Moorea"
"120",2005,"Maatea",3,"Massive",2,"Moorea"
"121",2005,"Maatea",3,"Rock and Rubble",36,"Moorea"
"122",2005,"Maatea",3,"Tabular",6,"Moorea"
"123",2005,"Maatea",3,"understory macroalgae",4,"Moorea"
"124",2005,"Motu Ahi",1,"Branching",2,"Moorea"
"125",2005,"Motu Ahi",1,"Corymbose",32,"Moorea"
"126",2005,"Motu Ahi",1,"Halimeda",4,"Moorea"
"127",2005,"Motu Ahi",1,"Massive",4,"Moorea"
"128",2005,"Motu Ahi",1,"Rock and Rubble",42,"Moorea"
"129",2005,"Motu Ahi",1,"Tabular",16,"Moorea"
"130",2005,"Motu Ahi",2,"Corymbose",24,"Moorea"
"131",2005,"Motu Ahi",2,"Encrusting",8,"Moorea"
"132",2005,"Motu Ahi",2,"Massive",4,"Moorea"
"133",2005,"Motu Ahi",2,"Rock and Rubble",52,"Moorea"
"134",2005,"Motu Ahi",2,"Sand",2,"Moorea"
"135",2005,"Motu Ahi",2,"Tabular",8,"Moorea"
"136",2005,"Motu Ahi",2,"understory macroalgae",2,"Moorea"
"137",2005,"Motu Ahi",3,"Corymbose",26,"Moorea"
"138",2005,"Motu Ahi",3,"Massive",4,"Moorea"
"139",2005,"Motu Ahi",3,"Rock and Rubble",52,"Moorea"
"140",2005,"Motu Ahi",3,"Sand",2,"Moorea"
"141",2005,"Motu Ahi",3,"Tabular",16,"Moorea"
"142",2005,"Nuarei",1,"Branching",4.08,"Moorea"
"143",2005,"Nuarei",1,"Corymbose",18.37,"Moorea"
"144",2005,"Nuarei",1,"Encrusting",2.04,"Moorea"
"145",2005,"Nuarei",1,"Halimeda",2.04,"Moorea"
"146",2005,"Nuarei",1,"Massive",4.08,"Moorea"
"147",2005,"Nuarei",1,"Rock and Rubble",57.07,"Moorea"
"148",2005,"Nuarei",1,"Tabular",12.24,"Moorea"
"149",2005,"Nuarei",2,"Branching",2.04,"Moorea"
"150",2005,"Nuarei",2,"Corymbose",28.57,"Moorea"
"151",2005,"Nuarei",2,"Encrusting",2.04,"Moorea"
"152",2005,"Nuarei",2,"Halimeda",6.12,"Moorea"
"153",2005,"Nuarei",2,"Massive",2.04,"Moorea"
"154",2005,"Nuarei",2,"Rock and Rubble",42.85,"Moorea"
"155",2005,"Nuarei",2,"Sand",2.04,"Moorea"
"156",2005,"Nuarei",2,"Tabular",14.29,"Moorea"
"157",2005,"Nuarei",3,"Corymbose",24,"Moorea"
"158",2005,"Nuarei",3,"Laminar",2,"Moorea"
"159",2005,"Nuarei",3,"Massive",2,"Moorea"
"160",2005,"Nuarei",3,"Rock and Rubble",56,"Moorea"
"161",2005,"Nuarei",3,"Tabular",16,"Moorea"
"162",2005,"Pihaena",1,"Corymbose",20,"Moorea"
"163",2005,"Pihaena",1,"Encrusting",8,"Moorea"
"164",2005,"Pihaena",1,"Laminar",2,"Moorea"
"165",2005,"Pihaena",1,"Rock and Rubble",56,"Moorea"
"166",2005,"Pihaena",1,"Tabular",14,"Moorea"
"167",2005,"Pihaena",2,"Corymbose",16,"Moorea"
"168",2005,"Pihaena",2,"Encrusting",2,"Moorea"
"169",2005,"Pihaena",2,"Massive",2,"Moorea"
"170",2005,"Pihaena",2,"Rock and Rubble",44,"Moorea"
"171",2005,"Pihaena",2,"Tabular",36,"Moorea"
"172",2005,"Pihaena",3,"Branching",4,"Moorea"
"173",2005,"Pihaena",3,"Corymbose",16,"Moorea"
"174",2005,"Pihaena",3,"Encrusting",4,"Moorea"
"175",2005,"Pihaena",3,"Laminar",2,"Moorea"
"176",2005,"Pihaena",3,"Massive",6,"Moorea"
"177",2005,"Pihaena",3,"Rock and Rubble",42,"Moorea"
"178",2005,"Pihaena",3,"Sand",2,"Moorea"
"179",2005,"Pihaena",3,"Tabular",24,"Moorea"
"180",2005,"Taotaha",1,"Corymbose",12,"Moorea"
"181",2005,"Taotaha",1,"Encrusting",2,"Moorea"
"182",2005,"Taotaha",1,"Halimeda",2,"Moorea"
"183",2005,"Taotaha",1,"Laminar",2,"Moorea"
