SiteCode,Site,LocationCode,Location,SiteLat,SiteLong,Country,AREA,POP2005,Ecoregion,Province,Realm,Lat_Zone
ACEH1,Rubiah Jetty Nth,ACEH,Aceh,5.88147,95.25631,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH10,Ujung Kareung,ACEH,Aceh,5.87792,95.35384,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH11,Bate Bukulah,ACEH,Aceh,5.86718,95.2696,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH12,Tokong,ACEH,Aceh,5.89787,95.25255,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH13,Paloh,ACEH,Aceh,5.6639,95.09202,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH14,Lamteng,ACEH,Aceh,5.64638,95.16272,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH15,Ujung Murung,ACEH,Aceh,5.84835,95.28406,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH16,Rubiah Channel Nth,ACEH,Aceh,5.88585,95.25413,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH17,Ujung Lumbeh,ACEH,Aceh,5.87248,95.26192,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH18,Beurawang,ACEH,Aceh,5.77726,95.33671,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH19,Jaboi,ACEH,Aceh,5.80058,95.34664,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH2,Rubiah Sea Garden,ACEH,Aceh,5.88102,95.26021,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH20,Ujung Rubiah,ACEH,Aceh,5.88679,95.25651,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH21,Ujung Tunku,ACEH,Aceh,5.88277,95.24911,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH22,Ujung Tunku Nth,ACEH,Aceh,5.88289,95.25118,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH23,Rhenteuk,ACEH,Aceh,5.85724,95.361378,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH24,Sumur Tiga,ACEH,Aceh,5.89158,95.34356,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH25,Pulau Klah,ACEH,Aceh,5.87715,95.31384,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH26,Lhok Weng,ACEH,Aceh,5.86461,95.26884,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH27,Gapang,ACEH,Aceh,5.8543,95.27358,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH28,Batee Meurenon,ACEH,Aceh,5.87207,95.26658,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH29,Deudap,ACEH,Aceh,5.60681,95.19375,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH3,W Seulako,ACEH,Aceh,5.89492,95.25287,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH30,Pasi Janeng 1,ACEH,Aceh,5.6291,95.13154,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH4,Rubiah Channel,ACEH,Aceh,5.88529,95.25431,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH5,Pasi Janeng 2,ACEH,Aceh,5.63217,95.13788,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH6,Lhoh,ACEH,Aceh,5.66782,95.12632,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH7,Silaho,ACEH,Aceh,5.89528,95.25436,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH8,Arus Paleh,ACEH,Aceh,5.89083,95.25436,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ACEH9,Anoi Hitam,ACEH,Aceh,5.82587,95.37793,Indonesia,181157,226063044,Western Sumatra,Andaman,Western Indo-Pacific,Tropical
ARG1,San Roman,ARG,Argentina (Other),-42.25556,-64.23408,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG10,Los Bollones,ARG,Argentina (Other),-42.93361,-64.50111,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG11,Punta la Islita,ARG,Argentina (Other),-41.95856,-65.05808,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG12,La Islita,ARG,Argentina (Other),-41.95203,-65.06206,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG13,Alejos Crack,ARG,Argentina (Other),-41.94308,-65.05764,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG2,Pafer,ARG,Argentina (Other),-42.62544,-64.25611,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG3,PNU,ARG,Argentina (Other),-42.62194,-64.275,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG4,Colombo,ARG,Argentina (Other),-42.62836,-64.24044,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG5,Wreck Mirralles,ARG,Argentina (Other),-42.76925,-64.97011,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG6,Punta Este,ARG,Argentina (Other),-42.77528,-64.94983,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG7,Sitio Top Secret,ARG,Argentina (Other),-42.77069,-64.93636,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG8,El Bosque,ARG,Argentina (Other),-42.94156,-64.45508,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
ARG9,El Pedral,ARG,Argentina (Other),-42.94778,-64.43342,Argentina,273669,38747148,North Patagonian Gulfs,Magellanic,Temperate South America,Temperate
BALI1,Liberty wreck,BALI,Bali (other),-8.277,115.5945,Indonesia,181157,226063044,Lesser Sunda,Western Coral Triangle,Central Indo-Pacific,Tropical
BALI2,Paradise House reef,BALI,Bali (other),-8.27729,115.59446,Indonesia,181157,226063044,Lesser Sunda,Western Coral Triangle,Central Indo-Pacific,Tropical
BALI3,Drop off below temple,BALI,Bali (other),-8.27899,115.59646,Indonesia,181157,226063044,Lesser Sunda,Western Coral Triangle,Central Indo-Pacific,Tropical
BALI4,Opposite Mimpi Resort,BALI,Bali (other),-8.27781,115.59459,Indonesia,181157,226063044,Lesser Sunda,Western Coral Triangle,Central Indo-Pacific,Tropical
BC1,Joan Point,BC,Bathurst Channel,-43.34206,146.0868,Australia,768230,20310208,Bassian,Southeast Australian Shelf,Temperate Australasia,Temperate
BC2,Forrester Point,BC,Bathurst Channel,-43.33992,146.00715,Australia,768230,20310208,Bassian,Southeast Australian Shelf,Temperate Australasia,Temperate
BC3,Munday Island,BC,Bathurst Channel,-43.33869,146.01024,Australia,768230,20310208,Bassian,Southeast Australian Shelf,Temperate Australasia,Temperate
BI-S4,Actaeon Island,,TAS (other),-43.52525,146.99609,Australia,,,Bassian,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP1,Guerilla Bay Island South,BMP,Batemans Marine Park,-35.825895,150.22657,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP10,Shag Rock E,BMP,Batemans Marine Park,-35.98626,150.15985,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP11,Shag Rock N,BMP,Batemans Marine Park,-35.98354,150.15798,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP12,NE Pedro Point,BMP,Batemans Marine Park,-35.9282,150.16796,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP13,Moruya South Head E,BMP,Batemans Marine Park,-35.9072,150.16286,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP14,Burrewarra Pt S,BMP,Batemans Marine Park,-35.83455,150.22347,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP15,Guerilla Bay Bommie,BMP,Batemans Marine Park,-35.82902,150.23084,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP16,Jimmies Is SW,BMP,Batemans Marine Park,-35.81964,150.23196,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP17,Jimmies Is S,BMP,Batemans Marine Park,-35.81929,150.23638,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP18,Barlings Beach N,BMP,Batemans Marine Park,-35.78062,150.23433,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP19,West Tollgate Is,BMP,Batemans Marine Park,-35.74858,150.25542,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP2,Potato Point - Bills Bommie,BMP,Batemans Marine Park,-36.09276,150.13934,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP20,Honeysuckle Bay S,BMP,Batemans Marine Park,-35.71574,150.28025,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP21,Montague Is W (S of the Pinnacle),BMP,Batemans Marine Park,-36.24683,150.22319,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP22,Montague Is NW shallow bay,BMP,Batemans Marine Park,-36.24482,150.22451,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP23,Black Rock North,BMP,Batemans Marine Park,-35.77392,150.24856,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP24,Burrewarra Point NW,BMP,Batemans Marine Park,-35.83132,150.23347,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP25,Barren Bommie,BMP,Batemans Marine Park,-36.13559,150.12916,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP26,Shag Rock SW,BMP,Batemans Marine Park,-35.98556,150.15759,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP27,Caulerpa Reef,BMP,Batemans Marine Park,-35.74794,150.26006,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP28,Pretty Point NW,BMP,Batemans Marine Park,-35.80183,150.23382,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP29,Broulee Headland East,BMP,Batemans Marine Park,-35.862,150.18527,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP3,Dalmeny point S of ramp off Joshs Beach,BMP,Batemans Marine Park,-36.16932,150.13612,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP30,M2 Heaven,BMP,Batemans Marine Park,-35.90916,150.16253,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP31,Fullers,BMP,Batemans Marine Park,-36.26133,150.1492,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP32,Whale Bay,BMP,Batemans Marine Park,-35.83289,150.22128,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP4,Dalmeny Reserve N point,BMP,Batemans Marine Park,-36.162134,150.130061,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP5,Dalmeny point N of ramp,BMP,Batemans Marine Park,-36.16112,150.13343,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP6,Potato Point shark gutter,BMP,Batemans Marine Park,-36.09594,150.14753,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP7,Potato Point Spud #1,BMP,Batemans Marine Park,-36.09226,150.14688,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP8,Tuross Lake boat ramp,BMP,Batemans Marine Park,-36.06581,150.126957,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP9,Mullimburra point off fishing spot,BMP,Batemans Marine Park,-35.99301,150.16224,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S10,Shark Gutter NE Tollgates,BMP,Batemans Marine Park,-35.75012,150.26204,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S11,Tollgates Outer Mid Bay,BMP,Batemans Marine Park,-35.75073,150.25915,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S13,Broulee North,BMP,Batemans Marine Park,-35.85507,150.19207,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S14,West Longnose Point,BMP,Batemans Marine Park,-35.83457,150.20885,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S15,Burrewarra Point,BMP,Batemans Marine Park,-35.83132,150.23347,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S16,Jimmies Island,BMP,Batemans Marine Park,-35.81672,150.2343,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S17,Pretty Point,BMP,Batemans Marine Park,-35.80453,150.23347,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S18,Yellow Rock,BMP,Batemans Marine Park,-35.72811,150.26449,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S19,North Head,BMP,Batemans Marine Park,-35.72235,150.27453,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S20,Acron Ledge,BMP,Batemans Marine Park,-35.7203,150.24789,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S21,Pretty Point North,BMP,Batemans Marine Park,-35.80019,150.2369,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S22,Garden Point,BMP,Batemans Marine Park,-35.78389,150.23465,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S23,Lilli Pilli North,BMP,Batemans Marine Park,-35.77133,150.23295,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S24,Bingie Bingie Point Nth,BMP,Batemans Marine Park,-36.01152,150.16517,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S25,Bingie Bingie Point,BMP,Batemans Marine Park,-36.0129,150.16603,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S26,Mullimburra Point,BMP,Batemans Marine Park,-35.99157,150.15918,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S27,Flat Rock South,BMP,Batemans Marine Park,-35.68546,150.30408,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S28,Richmond Point,BMP,Batemans Marine Park,-35.69019,150.29786,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S29,Wasp Island,BMP,Batemans Marine Park,-35.66796,150.31036,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S30,Montague Is East,BMP,Batemans Marine Park,-36.2485,150.22827,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S32,Bogola Point,BMP,Batemans Marine Park,-36.26515,150.15226,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S33,Bogola North,BMP,Batemans Marine Park,-36.26173,150.15152,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S36,Honeysuckle Bay,BMP,Batemans Marine Park,-35.71223,150.27862,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BMP-S37,Broulee Is South,BMP,Batemans Marine Park,-35.86214,150.18729,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BON1,Vista Blue,BON,Bonaire,12.032084,-68.259824,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON10,Angel City South,BON,Bonaire,12.101111,-68.287546,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON11,Invisibles North,BON,Bonaire,12.071916,-68.281959,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON12,Red Slave,BON,Bonaire,12.026236,-68.252486,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON13,Atlantis,BON,Bonaire,12.034012,-68.262904,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON14,1000 Steps,BON,Bonaire,12.209978,-68.321698,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON2,Pink Beach,BON,Bonaire,12.064554,-68.283181,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON3,Jeff Davis,BON,Bonaire,12.204612,-68.314644,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON4,Tolo,BON,Bonaire,12.21155,-68.328542,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON5,Weber's Joy,BON,Bonaire,12.205935,-68.316823,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON6,Karpata,BON,Bonaire,12.218796,-68.352027,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON7,Windsock,BON,Bonaire,12.13128,-68.285013,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON8,The Lake,BON,Bonaire,12.10538,-68.290406,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BON9,Oil Slick,BON,Bonaire,12.199815,-68.3086,Netherlands Antilles,80,186392,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Tropical
BR1,C. Conran Ramp Rock,BR,Beware Reef,-37.811883,148.725083,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR10,Nth East Beware Reef (Ridge Park),BR,Beware Reef,-37.818109,148.784786,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR11,Ridge Park,BR,Beware Reef,-37.81828333,148.7838,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR12,Outer East Yeerung Reef,BR,Beware Reef,-37.79866667,148.7857,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR13,Seal Gully,BR,Beware Reef,-37.81963,148.78596,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR2,East Yeerung,BR,Beware Reef,-37.79535,148.78586,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR3,Auckland,BR,Beware Reef,-37.81905,148.78351,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR4,Nth Pinnacle,BR,Beware Reef,-37.82143,148.78645,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR5,Mid Pinnacle,BR,Beware Reef,-37.8223,148.7885,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR6,Southern Flat,BR,Beware Reef,-37.823016,148.789716,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR7,Sth Pinnacle Beware Reef,BR,Beware Reef,-37.82491,148.79058,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR8,Pearl Point,BR,Beware Reef,-37.790384,148.886057,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BR9,East Pearl Point,BR,Beware Reef,-37.78976,148.89565,Australia,768230,20310208,Cape Howe,Southeast Australian Shelf,Temperate Australasia,Temperate
BRA1,PAB04,BRA,Brazil (other),-17.959116,-38.655646,Brazil,845942,186830759,Eastern Brazil,Tropical Southwestern Atlantic,Tropical Atlantic,Tropical
