,SurveyID,N,live,coral,turf,algae,cca,sand,left,add,N_used,coverage,Storage_kg,Accretion_kgyr,GPP_ghr,Calc_ghr,Rugosity,BranchSpace_cm3,BiomassStand_g,OrgGrowth_gyr,pc1,pc2,SiteCode,SiteLatitude,SiteLongitude,Country,SiteName,Location,Depth,SurveyDate
1,1003278,100,97,7,24,7,11,3,48,100,49,50.51546392,4.10460553,4.996021737,1.099075677,0.105447676,1.023561945,0,178.8255302,1043.399048,-1.103416258,0.278247915,USEC4,24.62529,-81.11185,United States,Sombrero Light W FL,Florida Keys,5,12/10/2010
2,1003281,100,83,3,4,61,4,17,11,100,72,86.74698795,1.955711373,6.188969471,6.77122992,0.090448375,1,0,249.3128314,7492.787871,-2.09706956,-4.355035417,USEC8,24.69262,-81.060967,United States,Vaca Key Bight FL,Florida Keys,3,16/10/2010
3,1003282,100,77,7,44,10,2,23,14,100,63,81.81818182,2.823860492,2.559176725,1.510802442,0.058757642,1.031415927,0,222.5220113,1522.950414,-1.546534999,-0.440138907,USEC9,24.70784,-81.04805,United States,Vaca Key Bight S FL,Florida Keys,7,16/10/2010
4,1003283,100,99,10,12,27,7,1,43,100,56,56.56565657,4.737685861,1.313190202,3.129897508,0.07163917,1.062831853,0,227.9895855,3396.479187,-1.606880471,-1.985252463,USEC10,24.68577,-80.96287,United States,Coffins Patch E FL,Florida Keys,6,17/10/2010
5,1003284,100,90,12,24,19,5,10,30,100,60,66.66666667,4.892248473,3.095896429,2.386212856,0.088166828,1.054977871,0,234.7682945,2499.825105,-1.260311939,-1.342756208,USEC11,24.68553,-80.9645,United States,Coffins Patch W FL,Florida Keys,4.1,17/10/2010
6,1003285,100,86,11,22,20,3,14,30,100,56,65.11627907,3.91700192,0.902614883,2.435386768,0.05111511,1.04712389,0,214.1639164,2599.53462,-1.772931334,-1.356434897,USEC12,24.54062,-81.41568,United States,Looe Reef Deep FL,Florida Keys,19,18/10/2010
7,1003286,100,100,10,58,4,2,0,26,100,74,74,4.051051517,1.000700465,0.963460246,0.05688332,1.062831853,0,274.0412268,882.7857463,-1.201201637,0.105964117,USEC13,24.54569,-81.40591,United States,Looe Reef West FL,Florida Keys,5.1,18/10/2010
8,1003287,100,91,4,40,6,4,9,37,100,54,59.34065934,1.871323205,4.24264888,1.058253231,0.066534304,1,0,174.5905075,1011.163183,-1.626865299,0.31080996,USEC14,24.546777,-81.405235,United States,Looe Reef Marker Post FL,Florida Keys,5.1,18/10/2010
9,1003288,99,91,5,32,18,3,8,33,99,58,63.73626374,1.836596465,0.44809328,2.248506184,0.024474372,1.005707963,0,196.4696314,2414.790033,-2.347003618,-1.151232624,USEC15,24.68217,-80.97067,United States,Pillar Patch FL,Florida Keys,4.6,19/10/2010
10,1003289,100,100,5,20,39,13,0,23,100,77,77,4.129255791,10.71076945,4.615371107,0.169438034,1,0,266.0255681,4936.439532,-1.091510062,-3.060554883,USEC16,24.68975,-81.02973,United States,Vaca Key Bight East FL,Florida Keys,4.1,19/10/2010
11,1003291,100,93,1,28,27,8,7,29,100,64,68.8172043,1.290821516,0.516652898,3.186090088,0.024759607,1,0,207.4519471,3491.432972,-2.570138665,-2.003234692,USEC17,24.63217,-81.09053,United States,Delta Shoal Marathon FL,Florida Keys,4.1,21/12/2010
12,1003292,100,79,2,4,37,7,21,29,100,50,63.29113924,1.667099165,4.308177663,4.145051559,0.068152506,0.992146018,0,167.3057951,4561.998061,-2.25806924,-2.51118298,USEC7,24.62198,-81.110531,United States,Sombrero Light Deep FL,Florida Keys,15.5,21/12/2010
13,1003629,100,89,0,37,7,13,11,32,100,57,64.04494382,1.785249295,0.812473317,1.099366039,0.038365209,1,0,180.9712264,1116.743599,-2.018905175,0.175637334,CAR2,24.609,-82.87406,United States,Garden Key SE,Florida Keys,3.7,07/03/2011
14,1003630,100,93,3,55,14,6,7,15,100,78,83.87096774,2.095955456,0.69087491,1.989141572,0.035962202,1.023561945,0,262.0102231,2082.332829,-1.937775156,-1.111617808,CAR2,24.609,-82.87406,United States,Garden Key SE,Florida Keys,4,07/03/2011
15,1003631,100,73,4,27,25,5,27,12,100,61,83.56164384,1.919043637,0.556419857,2.97133223,0.029226465,1.015707963,0,208.2205403,3239.209505,-2.362722472,-1.825447805,CAR1,24.62056,-82.86406,United States,Long Key SE,Florida Keys,5,07/03/2011
16,1003632,100,84,1,16,38,7,16,22,100,62,73.80952381,1.385286163,0.542781374,4.28414818,0.02674325,1.007853982,0,209.8109026,4754.974452,-2.676009331,-2.811249732,CAR1,24.62056,-82.86406,United States,Long Key SE,Florida Keys,6,07/03/2011
