SurveyID,biom,herb,plank,pisc,prod,exP,egP,exN,egN,Ic,turn,exNP,outN,outP,outNP,...1,N,live,coral,algae,cca,rock,N_used,coverage,Storage_kg,Accretion_kgyr,GPP_ghr,Calc_ghr,Rugosity,BranchSpace_m3,BiomassStand_g,OrgGrowth_gyr,pc1,pc2,SiteCode,SiteLatitude,SiteLongitude,Country,SiteName,Location,Depth,SurveyDate
1003278,81331.14367118008,87.590142388693,17.471241918740322,42.123617070940455,15.714244467827779,2.597884343367893,10.64136767223672,25.073754894585328,48.27498174116354,515.819603459641,1.9321312548314953e-4,9.651605529936623,73.34873663574888,13.239252015604613,5.540247783582898,1,100,83,7,17,11,17,35,42.1686746987952,5.10460552996846,5.99602173743073,1.99217426054174,1.10544767584091,7318.52369188303,1,140.32314416075,989.527811436827,-0.454421072899952,0.309556056426364,USEC4,24.62529,-81.11185,United States,Sombrero Light W FL,Florida Keys,5,12/10/2010
1003280,198068.05897586967,391.2015751574867,121.80768365104123,51.49036649092827,38.96716183562751,4.147828469473747,22.406059541632786,61.55664641228565,115.58307192843617,1257.1855287488272,1.9673622307963756e-4,14.840692392493178,177.13971834072183,26.553888011106533,6.670952226153498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003281,39199.95759290351,39.203982811559584,0.8299843441867701,37.205359071142034,7.564742067923958,1.1213141778327573,3.916770022651444,11.532960232160848,20.234309683081644,190.0100554188944,1.929783227442426e-4,10.285217524361826,31.767269915242494,5.038084200484201,6.305426557219786,2,100,83,3,65,4,17,72,86.7469879518072,2.95571137305502,7.18896947118332,7.77122992009718,1.09044837473477,35586.9958311216,1,251.645913898258,7508.51196892362,2.31672666750285,3.46545096538895,USEC8,24.69262,-81.060967,United States,Vaca Key Bight FL,Florida Keys,3,16/10/2010
1003282,17808.800443098855,47.278760362036344,1.9614232378826038,8.368658141785305,4.349971893102269,0.40686997862422575,2.277043648220351,5.765741562726801,11.346489823243287,125.83077961370074,2.442596797578211e-4,14.170968283830758,17.112231385970087,2.6839136268445767,6.3758502564363795,3,100,77,7,54,2,23,63,81.8181818181818,3.82386049192641,3.55917672495707,2.51080244201079,1.05875764200323,10445.6232245722,1,238.185918632895,1685.91549195738,-0.00614579472984345,1.44311984196433,USEC9,24.70784,-81.04805,United States,Vaca Key Bight S FL,Florida Keys,7,16/10/2010
1003283,119639.54625217464,31.079267946765622,9.235332832780854,59.32696313191995,19.360896951943324,3.365145485420947,12.695085296686386,33.518710589003355,62.31036136028618,616.8282192242732,1.6182690053951463e-4,9.960553186844013,95.82907194928953,16.060230782107332,5.966855224524699,4,100,97,10,37,7,3,54,55.6701030927835,5.73768586100485,2.31319020208575,4.11462587679331,1.0716391699036,17398.2617279439,1,226.202992766285,3421.19207791635,0.887193913206463,2.30991644989763,USEC10,24.68577,-80.96287,United States,Coffins Patch E FL,Florida Keys,6,17/10/2010
1003284,84676.81290984183,71.20735813326196,10.5266128801091,38.36323686382535,12.528863294666888,2.242252957975869,8.712112437073175,23.194122891728625,43.48538644673203,441.4295988665628,1.479609690554459e-4,10.344115194151184,66.67950933846066,10.954365395049045,6.087026215922764,5,100,84,12,37,5,16,54,64.2857142857143,5.8922484725513,4.09589642850487,3.3403979633861,1.08816682823482,14150.3153648269,1,223.409268983411,2527.79148242436,0.772345740833141,1.64560324246184,USEC11,24.68553,-80.9645,United States,Coffins Patch W FL,Florida Keys,4.1,17/10/2010
1003285,30821.150181745594,151.0486909805556,11.711214596055946,6.789596990829778,7.068196147649933,0.4695405446352092,3.289870005498006,8.843324394467658,17.747471013098806,211.23650669118408,2.293294087329747e-4,18.83399526517593,26.590795407566464,3.7594105501332153,7.07312889958885,6,100,83,11,39,3,17,53,63.855421686747,4.91700192017708,1.90261488270616,3.41247932202027,1.0511151096097,13914.6959158077,1,212.317109840412,2650.82805334672,0.306963619930334,2.12105335662214,USEC12,24.54062,-81.41568,United States,Looe Reef Deep FL,Florida Keys,19,18/10/2010
1003286,58065.916317282295,100.98629439418491,16.26410120932167,36.213721315407774,8.105554664667332,1.3958652758014376,4.96735100936504,15.020722585734937,26.650977501886516,268.52104579838925,1.395922974913057e-4,10.760868434893025,41.67170008762145,6.3632162851664775,6.548842318115739,7,100,92,10,54,2,8,66,71.7391304347826,5.05105151665463,2.00070046481008,1.90237372216432,1.05688332010409,7668.91575949367,1,267.227562242499,1015.44755329587,-0.581202560344446,0.925693614827969,USEC13,24.54569,-81.40591,United States,Looe Reef West FL,Florida Keys,5.1,18/10/2010
1003288,105924.19730198881,227.40225332192483,7.3378006733943195,34.00650049357656,16.536179231141404,2.027770260584951,10.345686861805858,28.891658369842165,55.17072416556377,595.3505427617488,1.561133305924134e-4,14.247993932758334,84.06238253540593,12.373457122390809,6.793766827161667,9,99,87,5,46,3,12,54,62.0689655172414,2.83659646518237,1.44809327978028,3.21796292211061,1.02447437249133,12751.0917916122,1,194.562610958979,2492.66401031968,-0.259088489027275,2.44177727056727,USEC15,24.68217,-80.97067,United States,Pillar Patch FL,Florida Keys,4.6,19/10/2010
1003289,16651.60932358473,50.80108876893525,5.592385423677664,7.475025780827266,6.620371221685219,0.35040715222908103,2.804944573303062,6.791712697601336,13.903593258985726,154.3805243047881,3.9758146453198177e-4,19.382346091957643,20.695305956587063,3.155351725532143,6.558795264923072,10,100,94,5,53,13,6,71,75.531914893617,5.12925579126864,11.7107694525214,5.56955621426968,1.169438034304,26385.6888956986,1,253.333460122889,4949.68181191938,2.34402419792616,2.22182268201861,USEC16,24.68975,-81.02973,United States,Vaca Key Bight East FL,Florida Keys,4.1,19/10/2010
