Location,Site,Year,Longitude,Latitude,mean_sst
Seychelles,Average_Sites,1994,55.658746,-4.332921,27.91713699
Seychelles,Average_Sites,2005,55.658746,-4.332921,27.96726619
Seychelles,Average_Sites,2008,55.658746,-4.332921,27.709124
Seychelles,Average_Sites,2011,55.658746,-4.332921,28.17999315
Seychelles,Average_Sites,2014,55.658746,-4.332921,28.33852568
Hoga,Average_Sites,2005,123.7245,-5.470333333,29.13357533
Hoga,Average_Sites,2006,123.7245,-5.470333333,28.5690137
Hoga,Average_Sites,2008,123.7245,-5.470333333,28.57078645
Hoga,Average_Sites,2009,123.7245,-5.470333333,28.6700981
Hoga,Average_Sites,2010,123.7245,-5.470333333,28.9535548
Hoga,Average_Sites,2011,123.7245,-5.470333333,28.85989385
Hoga,Average_Sites,2012,123.7245,-5.470333333,28.65015298
Hoga,Average_Sites,2013,123.7245,-5.470333333,28.73788927
Hoga,Average_Sites,2014,123.7245,-5.470333333,28.72492124
Hoga,Average_Sites,2015,123.7245,-5.470333333,28.58136987
Hoga,Average_Sites,2016,123.7245,-5.470333333,28.8935524
Hoga,Average_Sites,2017,123.7245,-5.470333333,29.01157637
Hoga,Average_Sites,2018,123.7245,-5.470333333,28.7332774
Hoga,Average_Sites,2019,123.7245,-5.470333333,28.52924658
Moorea,Average_Sites,2004,-149.7609291,-17.50625199,27.76076163
Moorea,Average_Sites,2005,-149.7609291,-17.50625199,27.82365409
Moorea,Average_Sites,2006,-149.7609291,-17.50625199,27.91291093
Moorea,Average_Sites,2007,-149.7609291,-17.50625199,28.00981505
Moorea,Average_Sites,2008,-149.7609291,-17.50625199,27.47025956
Moorea,Average_Sites,2009,-149.7609291,-17.50625199,27.83932193
Moorea,Average_Sites,2010,-149.7609291,-17.50625199,27.94542464
Moorea,Average_Sites,2011,-149.7609291,-17.50625199,27.1679281
Moorea,Average_Sites,2012,-149.7609291,-17.50625199,27.75971993
Moorea,Average_Sites,2013,-149.7609291,-17.50625199,27.43746576
Moorea,Average_Sites,2014,-149.7609291,-17.50625199,27.82527054
Moorea,Average_Sites,2015,-149.7609291,-17.50625199,27.95217809
Moorea,Average_Sites,2016,-149.7609291,-17.50625199,28.2002493
Moorea,Average_Sites,2017,-149.7609291,-17.50625199,28.0596096
